,,,,,,,,,,,,
Theme: Society,,,,,,,,,,,,
Subject: Community Services,,,,,,,,,,,,
Topic: Social and Family Services,,,,,,,,,,,,
"Table Title: Total Number Of Places And Enrolment For Childcare, Annual",,,,,,,,,,,,
,,,,,,,,,,,,
Data last updated: 09/07/2025,,,,,,,,,,,,
Source: EARLY CHILDHOOD DEVELOPMENT AGENCY,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Number
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 
Total Enrolment In Childcare,154173,152634,145999,138966,130062,124549,118296,109542,101905,91601,80422,86124
Total Number Of Places In Childcare,200847,194972,184415,178939,170932,166235,156950,139359,128207,117065,104066,96340
,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,
"In general, annual data reported are presented as at October each year.",,,,,,,,,,,,
,,,,,,,,,,,,
Notation:,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,
Notes,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,
,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,
Date generated: 19/07/2025,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,
