"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.0363790186125","80.9753036437247","79.5882567469001","79.4659510231466","80.8553826199741","79.0896322626048","79.3222468949744","79.3752598456588","77.40907252334","76.456580991723","75.541061032835","73.7471756386862","72.0518850702006","73.1525399615721","75.7664029190885","78.5445335192497","77.4233295663828","79.5391289840283","80.1808205902658","80.2286442466312","79.1390533682379","78.731130541331","78.987879571807","79.7291610181486","78.327443703031","","","","","",
"Africa Eastern and Southern","AFE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","37.9939262904291","40.3143107731327","40.8357190827833","36.5997538588202","38.3891633036369","42.5127960566761","41.6804059539595","42.1326196305916","43.7563430487899","45.5354519571992","48.7323015193711","49.5763017947097","52.1520199778089","52.5002427729065","51.3056388814812","51.3564191844653","51.969563740531","52.7634942461479","53.0408817448081","51.9590328268221","51.3566830388148","54.2511804568497","54.2200023888906","53.0042778830945","52.2944151720428","50.0263211003015","48.3483009999411","53.6367062770007","54.2142479335811","53.9979903673885","53.8761765508732","54.0392508950326","53.6735963484965","54.0302518760863","53.5305682943222","53.6824278095463","53.2738261233709","52.4132008155523","51.519191661511","49.9852663569582","47.6331759649766","45.8355778586404","",
"Afghanistan","AFG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1511545995992","37.4448038407261","41.1108953364243","39.0077871841904","39.8310243252872","40.294685221301","45.4098308716488","45.2444349261482","48.8793769096891","49.6968203962567","50.5793979236606","52.6827434733525","52.9908650351499","53.2352934986503","59.0232164144095","58.3290500097748","59.4774229106653","55.4728067408306","52.5721090890613","47.160422387969","45.0499087998591","46.5489009688383","",
"Africa Western and Central","AFW","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","46.470628288721","47.8665834010545","44.8249271521479","41.9990917487101","38.6242379305261","45.8423734116478","44.2959190508441","43.3889430182088","42.6960124449706","43.155070014024","42.7612898658436","43.1431877487193","44.0123205796934","43.1800780592788","39.4497806069589","36.8920297317513","37.3813547018214","42.0481037376438","41.1341543201868","40.8597105185923","42.2800536681277","38.7118505368872","38.9919528511558","41.1234592073695","41.404676949777","44.8241488168434","46.1696662395695","44.9613672638664","47.0666867225555","46.7322204176137","45.1827209865829","46.2821544748209","47.5361027096511","48.9012930890958","53.2410584888756","54.0131630185591","51.2477167072731","49.1616327833589","48.2807612541566","46.8069184016222","44.9228817758152","44.1362658959758","44.0232540528274","",
"Angola","AGO","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0616104906329","25.1524548978866","30.2402406688035","31.9315282885985","20.9923708578417","22.2123554945612","26.9598114360045","37.9075789655613","41.1829874636929","40.3474731127873","35.5267258263529","37.1568468383723","34.6118783461354","34.3382017589612","48.9906714059621","41.887025816932","39.0758307473749","39.6049455482436","42.7849146737659","46.8139275295854","48.6598885686327","46.980995527677","46.7626248264264","43.2069096122475","42.123209005715","44.3955921450617","40.9337415818833","41.1747693679878","39.7932678112576","",
"Albania","ALB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7725199560951","42.3159807318516","43.9942522762233","46.8340419392508","44.302961498327","44.9430205750654","43.7765154121089","41.9114761161393","42.5804168880888","43.5544783831139","43.5234063031734","44.6398240133896","44.6991512719816","45.3172205438066","44.0255879707497","44.256372325899","44.9546859982398","44.6069895033751","45.7823916634714","46.2844425914396","46.697168516495","47.9695558116737","44.3970237632603","45.4534298741692","45.721349736043","45.2438427587085","46.2094062753043","47.9574813038329","",
"Andorra","AND","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.5609990393852","75.1939329781511","74.7463595290032","74.9370367361373","74.7942373593759","74.4198860237398","74.1242699981489","74.5592619910865","75.3640750593347","76.035601397438","76.991211654261","77.375135201479","76.8249491306888","78.021575852346","78.2437091148297","78.6674143272447","78.1008536948862","77.8688586318041","77.6557919031876","77.5555098246535","79.8154154929299","79.3818503932806","78.1918257115356","78.3110227448023","",
"Arab World","ARB","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","30.3468026638815","31.2599811041137","33.2635267439626","36.2253449767903","33.0764759013012","30.1117618900969","33.7229300358096","40.9546191225477","44.8079144754372","45.6986432026343","45.4213448003212","48.2192314041543","46.1805573896727","47.1138307161676","46.9755681296222","38.4955993286762","46.5707855990811","42.1085273093101","44.0928700853589","46.2765956224982","46.6535559456932","44.8949810419418","45.6531125910286","48.9374299210334","46.1852460979465","41.9858800008168","44.8148404827023","45.8605071657962","44.5445126820437","43.0963159708186","39.5401825070368","38.1218193310893","38.9652245882599","36.737875546793","44.5681654770153","43.101179959004","40.2962711063228","41.0417133823678","42.9702411498254","45.479967814653","53.3154797519297","55.2073430047784","53.1188483814219","49.2786568170565","50.8540044640902","55.2209443715957","48.9342152928893","43.3899529388752","46.358792819096","",
"United Arab Emirates","ARE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","25.4643047004956","27.6401890692683","31.5331369357862","31.3121326365424","28.09722443704","26.8457912124624","31.0883861669878","36.2075815649247","37.8652207393831","36.3468141806264","37.8220266208673","46.6611025062797","44.1756695041514","45.7880271536706","43.7300450012482","40.0392209536602","51.9239305038891","43.3233556993049","47.0391772771792","51.909199895273","52.6677577741408","51.8405657582938","52.567566633727","57.7955770490152","55.6460922334793","49.220338275323","48.0854585516536","50.2509298289115","48.951303152003","46.6562900061707","42.9608649080015","41.0026442799823","44.1831002420827","41.1547160923483","46.9181571110237","47.5865147466061","42.2714577323722","42.8039942665248","45.1630125266929","47.3815703278493","55.9220834764877","58.2205653566162","56.7102076328773","52.3695784102756","54.7287717588654","56.8620662143186","51.9172576228464","48.2133240223182","51.5751513919623","",
"Argentina","ARG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","38.6813582857261","40.1170927423721","42.6362011624409","43.2426585257493","43.4271542070252","48.0836525009197","43.1787867210794","43.4334758186795","44.6950283481664","46.176359627142","43.2747682872493","40.9540839979597","44.1066558208208","46.3979525030898","48.1755980563708","52.4268325075777","53.1862535979657","49.3009953094612","49.7853685268061","51.9458352298589","53.0895381715363","54.8191624683246","54.0769662656489","52.5355207001495","48.0360922412516","55.8544476443929","60.5611985052019","63.3252164422299","61.056897614085","61.5907929226228","62.263779670525","61.3509955456509","60.8492831021072","61.5396856144834","63.4877305192171","63.469313441501","65.0812573281962","54.7764456459146","51.0316942508769","47.8369882937827","48.4861459282405","48.7491333682456","49.5083307772744","50.2551922042782","53.3060010032753","51.4951802052167","51.8119007511102","53.6581179163924","53.9190936666216","52.9405434663365","55.8149012843362","56.1222358547004","57.3499373815692","56.3697502721818","55.4388171093669","54.8578674557962","52.8340319497207","53.5116407160562","53.1486935707399","",
"Armenia","ARM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6989324054448","45.749756861728","47.4130437470384","48.2126693907876","49.9105094267778","50.7652583569469","52.6163051198371","53.9731853016919","53.2412027973394","53.0783701392799","55.6162023383919","59.4303162694016","",
"American Samoa","ASM","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","74.1684190403365","74.858008330178","74.4862782209004","73.1116641964261","72.7238916988991","75.2019583843329","76.2086998336973","76.4522097325979","75.627320974847","72.3856351527977","72.0279346909138","72.0332039866392","71.9342501424038","73.1165907139044","73.0381968669903","74.1038807149205","75.2470190739977","75.4681093124126","74.9320603160097","75.1401614310646","75.4652370817909","75.8441351366561","75.6805517999548","77.4101476872206","77.532931806575","77.0000453688695","76.7093315829778","76.0680552497753","75.4163657736486","71.5701873518999","71.1664935964001","70.9311450149333","71.4884864027355","73.6566731996497","73.8242171805493","73.5367089102169","74.135218588015","73.9465032072289","73.0892285815855","71.1526365121315","70.2189830459277","67.9048534037132","68.4105228133821","67.8111914731633","68.4248870756229","68.5996890665651","67.8467135333456","",
"Australia","AUS","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.5456421128581","61.3003573045178","61.9518994518995","62.6195048049542","62.5810889873279","62.4603203413963","62.5083889604117","63.4663576837056","63.6321363111805","64.3575900560785","64.3681508554734","64.1653543529705","63.9531440446509","64.270558878756","64.2465070149024","64.3318544003838","63.6747250108795","64.2867046885144","64.4201693922411","64.0214643411781","65.6485131738942","64.5593873783184","65.0950399070324","66.1769460296851","65.6128523578267","67.1549380758728","68.1276592151342","66.8927633693757","66.5626518353243","66.0129131385253","66.2505178731197","65.7263659123358","63.2803780067106","63.5744395451941","",
"Austria","AUT","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","48.9851687156932","49.9359095684725","49.9283321092541","51.0981920225424","51.0101263251924","51.6238929409722","52.878233524076","53.4458924087911","53.6595798616555","54.0256594922766","54.4705713659572","55.0419474436907","55.1958381901928","55.5287805383226","55.5729516173706","55.9352223994154","56.8566006010626","57.929507323704","57.7216291795385","58.4507297015153","58.2611483509957","58.1272796510889","58.4481246778572","58.3158834130484","58.894981312158","59.1867003943807","59.9083022318199","60.1110513234663","59.9626359213759","60.1404134231844","60.2518374028565","59.9241173078912","60.4339457519","61.5565047607551","61.6368683831245","61.6607142402264","61.3539590600962","61.5862394505333","61.8415922139115","62.1631640037401","61.764351964317","61.8559536613009","62.2430323743685","62.5614077818279","62.8123620241372","62.2999318438832","63.0102397070656","63.2630689715199","",
"Azerbaijan","AZE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7544338335607","34.2440119760479","28.8230534636211","35.9009554140127","38.0427808913798","37.9417002530696","30.8497401741931","35.816736852104","43.3412776841249","39.045323302694","35.7855916576588","34.4796448190232","32.4552577319588","31.9247183936193","31.7987854915477","25.40946296666","23.3140583158187","21.6321997143915","23.4420936188872","31.2245270564443","27.9335923701872","27.3238354901885","29.2082924610503","30.9140283936613","33.6158646831859","39.9959543949982","38.6924660572079","37.5760970630301","34.7979823203316","36.491070403755","42.3542363329985","37.7011733502712","32.0714593346256","39.0763014661946","",
"Burundi","BDI","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","17.76016874538","18.9850703092159","21.4652194448818","18.2273938518011","19.5078982695526","19.4638747372009","20.5786077009794","19.2939474250277","20.6109580610448","20.2521274496022","23.2425334096845","23.960891689656","25.6290163395109","25.4615629160126","23.6605427727615","23.1499160608397","25.0907063359597","25.4671540156219","25.854544497381","23.4006438727418","22.9871362403161","23.348497862179","22.6814595877393","22.3513572629769","26.7703796531697","28.4609699957859","28.1245516913721","32.5720828471412","33.4982258870565","35.7133948177426","32.1289977027999","34.998612766489","35.5059476836453","33.826561596154","33.9799370317603","34.0146526694939","35.7022673486526","39.9188675811784","38.3214407743236","37.8394521765596","36.9511248689049","37.9941508064808","38.8495890200953","36.0237756562607","39.1278229696112","49.3716359599916","47.6730845453259","49.3337056167763","49.1149832347859","47.8275400006599","45.4797099998811","44.8054600004096","45.3736001011007","48.771665882928","",
"Belgium","BEL","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7913274369077","62.5668554010017","62.0694194371747","62.6376148958103","63.4140241577235","63.0558428934957","64.1634154249023","64.6783106970426","65.312044586028","65.24479338804","65.8743326615868","66.148949028376","66.0540499955037","66.9573617790939","68.2494049346212","67.916796056848","68.1083915474617","68.6739965906651","68.8013394276922","69.2884674792442","69.4272004004447","69.5878866778803","69.4180202757195","69.6766949921631","69.5353313801023","70.3395076969123","70.747210799821","69.9635307720645","71.0985332386639","",
"Benin","BEN","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","43.615302180774","43.9929124720352","45.4994181530483","44.8122107048694","43.67841036362","47.3987255904304","43.5455672370269","46.5059242890085","50.2631170503499","50.4402717265813","51.9683982041306","52.1614596957261","51.8808524617756","52.0799538792979","51.3820792425374","53.297004357434","53.8934593469441","55.5879275391727","51.452491499554","51.6637685074727","52.2856418292352","54.4249432095668","52.3763810335203","51.4853809663329","49.6189872949535","51.7520259669479","54.2210964595729","54.3544832260973","52.2252350907992","49.3750990651927","52.891669584582","52.9735960804375","53.3304153596299","53.6634374041183","54.3679410147105","53.517528996626","51.0277586150128","50.6973620798489","50.8568789177286","33.490071920323","35.3186631524293","37.595219547784","35.7896106948174","37.2055321288927","36.8973075406702","38.0187915766517","39.2378743115272","41.0098695799623","43.8028111047733","44.0902785058205","44.5474397323122","46.9792375495936","48.8721211959796","49.4207609001386","49.528551651517","49.2408968968993","48.2031996094347","48.4009792238265","48.8000788401919","48.0268213377537","47.8973320949726","45.8849731676344","46.8936616516736","47.7220901545374","",
"Burkina Faso","BFA","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","38.266007009697","38.4778565731393","38.6513132107516","36.8808326769581","36.6491293871368","41.1530581609629","40.7146337046795","42.177033293903","43.3330367120645","43.1568809117191","44.5465648744565","40.7871567730275","40.91531697807","39.7946832879182","41.7064241283234","40.3988572232805","38.749152552934","43.9061517260783","42.7755454372937","47.0220135197027","48.4661425604687","48.4483110994204","50.4855350919865","49.8629539201625","49.4289833546775","43.2161046944243","45.0313582333358","45.947053251314","45.3141294834273","45.8511330252438","47.5925973739069","46.3586227386582","46.4065394896962","46.2776042581147","39.3936571262445","39.532823713261","37.4748721663137","38.3333246970843","37.9875193058709","43.9512839598567","47.7431323544295","46.3932165940742","46.5996342910245","44.9144762732164","46.4776363991653","44.5494891325644","47.138528226651","48.1789341308636","45.0673520982897","45.889730891061","42.120724852489","40.5626068793802","40.3188210511278","41.5589270375237","42.4959291277041","44.0578267356519","43.8058266776224","43.9574724350802","43.5508126426667","45.3162521473929","44.9534162457844","45.3590661191773","42.6709143664748","43.6395175133099","",
"Bangladesh","BGD","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","35.5518720551537","35.2176462996046","35.0175642153379","35.0487389633338","36.2201388963456","36.4582804781822","35.7375438522889","36.0446932217479","37.1819145143434","35.4007770657731","36.7094171781466","41.2848500130114","34.3259918971786","31.2508095136351","29.9907187171958","26.4348135606942","33.636340273609","34.3728691714734","31.4399790078613","31.8615331335383","44.5556655922672","45.6914352091393","46.1447752828964","45.7825820082172","41.6474498066682","44.4174404934751","45.0844194859014","45.4917707766061","46.3886719227268","47.1813425526549","46.7006908434731","44.3573351255736","44.3837968399425","46.0446640620564","46.2837782535776","45.1285007128911","50.1242014306067","49.9341757797937","49.8336270363667","50.2007432591683","50.566324299804","50.5801185568603","51.5724174972413","52.4004924204798","52.8058618188649","52.8799568974096","52.7445971888149","52.8840217973928","52.932121684056","53.3233235281853","53.4982962820487","53.045792114203","53.1515772385279","53.3901814188466","53.6357543166708","53.7138319423318","51.2078039865767","51.383900544644","50.890160724185","50.8492887427224","51.5113093348259","51.3015069352743","51.0380826788136","51.1119129405073","",
"Bulgaria","BGR","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","30.492419836377","29.0035228988425","24.9860407403578","25.0957584539118","24.0741500873041","25.1373664301295","21.370098594577","30.0572385871841","32.4771613582961","32.7416926062174","35.2033240362542","35.6985998526161","39.1195219123506","45.2873870859819","44.6847412480974","65.2782796899215","65.9314748628231","49.0908824377348","54.4354093520198","53.4034627569227","54.0162589138158","53.4910733280046","55.2606420812152","53.852620036115","54.0545337686821","53.5290714639992","52.9401118883602","53.9231720397525","53.2162517660805","56.0934493454046","59.500569647052","57.5905061435305","57.1818718497871","58.1902311834487","58.7280722436486","58.2751717161103","57.5930646010408","57.9586661145076","61.0385392808893","61.5674944831384","61.5511601427958","62.44606755753","59.8952371314871","62.5047158974609","",
"Bahrain","BHR","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4635279305642","52.8099940272787","48.3070764329234","55.5964970660087","54.7856196764576","50.6068677586612","52.4449503421466","52.1331512230717","53.7209538895267","59.7147216888712","60.7104509663565","58.8266074582833","57.2061547726912","56.3995265649658","57.8230716997095","52.8740707167008","49.1734480108342","51.8473072019383","",
"Bahamas, The","BHS","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","73.4309930919602","72.9865977070107","72.958543983822","73.1171729225193","","68.4825277596342","70.1550221099179","66.8485709510279","66.6082984882599","71.1748382923674","67.4637005216324","68.1353747448236","67.9338597949571","76.8733931741089","76.9432273510878","80.1419076585106","77.698548994796","82.3772546445407","80.9725306153701","81.4963546029409","82.3264633159181","82.1953599967467","78.9505520175072","82.0796847718193","81.2017860535816","82.3926363159139","81.1380222984698","79.8623696061248","76.9411589119809","79.6273495065315","79.6302202458516","77.9041972600862","77.8511890064793","76.1504327147025","76.1521266982673","74.8989720502144","78.6608021529995","80.4202693312458","82.0742364727018","80.8403947414304","",
"Bosnia and Herzegovina","BIH","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2913881242627","53.6000024224429","35.7000015027045","39.3643299503698","38.7094107305254","44.4868898150251","54.3531655773759","54.5606381209558","54.8986257482163","55.7906610032614","55.6072720294647","54.6379203476702","52.5945337136241","52.5400327816496","53.651324367079","55.6401360945712","55.5086556716057","55.8147274805154","56.7861598346331","56.1571217988708","56.7834626353011","54.9288363091656","54.1748786267221","54.4500617824377","53.7328253653242","54.570767166769","54.6561661309433","53.8615338086611","54.5016852800317","55.8064494679743","",
"Belarus","BLR","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6374133949192","22.2222222222222","27.1739130434783","40.6091370558376","44.4107233181588","41.1505481742626","39.3642585709892","37.9104762424011","39.5825173998556","40.0357361906424","39.8946769143182","44.3475881023921","44.0705784232333","43.252800507592","41.8164578990954","39.6283221474447","40.8328812746793","40.4715469411405","37.9914446940769","42.172884617144","43.474996157587","44.1312307767417","43.293602989098","45.4221296473698","45.6520929770784","47.7421866310755","48.5228912363479","47.6339978061051","47.8106605624591","48.4265059525577","49.0118286679891","48.696566579413","48.2025487635555","47.8166851226028","",
"Belize","BLZ","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","40.6456346294938","43.1488801054018","47.2804972804973","51.8120805369128","57.6342788171394","58.611481975968","56.4663337351472","57.883745214062","57.3675762439807","53.1258420910806","51.9278680745047","52.9525554876807","52.947089463584","54.0194272316195","55.3034111310592","55.269974098426","56.746083128318","56.3701849703925","55.8970441323382","57.1731165559881","57.4986551909629","59.0502374406398","57.1340767407147","59.1277285129604","59.9485799220665","61.4409045763618","61.4591141092908","62.4597443981152","60.4311347138862","60.0638509753383","60.3369946517914","61.6020136215576","61.7259552042161","61.0656522809994","62.061380538389","62.2383470667815","61.9057640593944","62.1736850505005","61.8404606731542","62.5512950624366","63.8765943529925","64.131390528828","61.2820324546589","60.9365640040487","61.6643833210384","62.3848574270016","",
"Bermuda","BMU","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.9208362436141","89.7451182071164","90.6870885586941","90.0702562855759","90.8153554387691","90.4111192642738","90.1322785177954","89.7082682984063","89.6168504272848","89.1451768143313","90.3339074946418","90.4935589362786","90.5256400757283","","",
"Bolivia","BOL","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","44.3138553219666","46.2354025814382","43.8277511961723","41.5400443178221","40.0228430019512","44.767031048672","45.7369162383156","45.254796302318","46.7168426371639","48.0323689169715","44.7379537835141","44.5307416483227","44.9220896979842","42.4717965049162","43.2022088868942","43.4237237453411","44.2985060895341","46.7285551656628","46.1210229324821","46.4244410364696","46.1137828884103","46.6091940226012","47.5194937259488","48.9358470227934","48.3216076437381","46.7308234317658","47.5103918978719","49.2203470032769","51.7171694015191","54.2201173752696","52.1618196573823","52.653776599304","52.2995520552759","51.2880547650981","49.2849694922866","46.8201969433938","43.1317849879713","42.5095719427825","40.496023654551","43.5085261772037","43.5524305510023","41.013191725216","40.4434919386356","40.2117817540524","41.4653506439338","45.9764002651322","49.8023324191041","48.7378534129858","49.0940956786384","50.7199151285033","52.8072617557436","50.5755838873682","49.6031928892253","51.0549336216593","",
"Brazil","BRA","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.02469584091","46.1313726538209","43.9725400282911","45.8032024598864","45.1924312209896","42.7384283670828","43.4768842317661","41.4271077410449","40.6694305204324","41.2352675973291","44.7820179045428","48.3673092660952","60.4966083040231","60.5497130345354","68.3574513681691","73.3378800322126","56.8943424724272","58.1214163702779","60.3188797926266","60.6057128117431","61.1185930442759","60.2036566282485","58.251861249965","57.7136922463033","57.3481454732969","56.3578281380465","54.9204711078884","56.075891608616","57.1381271995933","57.7262362133999","56.8048617723911","59.1450592146824","57.612921967849","57.5681693188575","58.7336025035516","59.6787579888961","61.2509740086137","62.3078671707317","63.2036958394903","63.3386728634318","62.653350352313","63.0678492464134","61.4484446456232","56.9133841843593","58.0872310744068","58.8801839765556","",
