year,industry1,industry2,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2011,manufacturing,"food, beverages and tobacco",29.8,20.7,5.9,5.9,-,-,-,na
2011,manufacturing,paper/ rubber/ plastic products and printing,22.8,13.3,7.1,2.1,2.1,-,-,na
2011,manufacturing,"petroleum, chemical and pharmaceutical products",31.9,12.3,16,11.7,4.9,1.2,2.5,na
2011,manufacturing,fabricated metal products and machinery,27.6,20.3,6.8,1.5,2.5,0.7,1.2,na
2011,manufacturing,electronic and computer products,27.3,14,8.4,11.2,2.8,0.7,-,na
2011,manufacturing,transport equipment,31,23.7,9.3,2.4,2.9,1.3,0.3,na
2011,manufacturing,other manufacturing industries,37.7,28.9,5.6,7.4,0.4,1.8,0.4,na
2011,construction,construction,24.4,17.8,6.2,4.3,0.6,0.7,0.2,na
2011,services,wholesale and retail trade,36.9,27.5,6.7,5.1,4.4,0.7,1,na
2011,services,transportation and storage,29.5,21.9,4,9.2,1.8,1.2,2,na
2011,services,accommodation and food services,58.2,54.4,3.5,3.1,0.5,-,-,na
2011,services,information and communications,46.8,27,14.7,17.4,16.4,2,0.3,na
2011,services,financial and insurance services,53.5,38.6,14.1,26.2,8.4,1.6,4.3,na
2011,services,real estate services,47.6,35.8,8.5,7.5,0.9,2.4,-,na
2011,services,professional services,42.1,29.9,14.4,10.1,5.6,-,0.3,na
2011,services,administrative and support services,46.4,34.6,6.6,9.5,2,1.7,0.1,na
2011,services,"community, social and personal services",59.2,53.5,8.3,14.1,3.8,0.6,0.5,na
2012,manufacturing,"food, beverages and tobacco",44.3,34.8,7,4.5,0.5,2.5,2.5,na
2012,manufacturing,paper/ rubber/ plastic products and printing,29.6,18.9,5.6,3.4,7.7,-,-,na
2012,manufacturing,"petroleum, chemical and pharmaceutical products",28.5,13.3,14.6,7.6,3.2,3.2,1.3,na
2012,manufacturing,fabricated metal products and machinery,30.6,22.8,5.5,4.8,2.2,-,-,na
2012,manufacturing,electronic and computer products,27.7,12.8,10.6,12.1,2.8,-,-,na
2012,manufacturing,transport equipment,22.2,14.5,5.9,3.3,1.4,-,-,na
2012,manufacturing,other manufacturing industries,32.2,25.3,9.7,6.6,2.1,1.7,-,na
2012,construction,construction,24.4,18.2,6.8,3.3,3,0.2,0.4,na
2012,services,wholesale and retail trade,48.3,42.1,7.9,4.4,2.7,2.3,0.2,na
2012,services,transportation and storage,31.7,21.2,1.7,9.7,3.2,-,0.8,na
2012,services,accommodation and food services,58.8,55.8,7.1,2.4,3.4,-,0.1,na
2012,services,information and communications,44,27.1,15.7,12,12.3,1.5,0.3,na
2012,services,financial and insurance services,62.6,46.8,18.3,26,10.4,2.5,5.2,na
2012,services,real estate services,48,36.7,3.5,12.7,1.3,-,-,na
2012,services,professional services,45.4,33.5,11.3,11.7,2.6,0.6,-,na
2012,services,administrative and support services,46.7,39.5,9.3,5.8,5.3,-,-,na
2012,services,"community, social and personal services",66,58.7,9.5,14.7,5.2,0.9,0.9,na
2013,manufacturing,"food, beverages and tobacco",62.5,51,9.1,17.4,4.3,2,-,na
2013,manufacturing,paper/ rubber/ plastic products and printing,40.3,14.7,15.2,7.8,6.5,-,-,na
2013,manufacturing,"petroleum, chemical and pharmaceutical products",44.4,21.6,15.7,24.2,7.2,-,0.7,na
2013,manufacturing,fabricated metal products and machinery,29.3,24.4,4.2,1.7,1.7,0.9,-,na
2013,manufacturing,electronic and computer products,42.1,22.9,16.4,9.3,7.9,-,-,na
2013,manufacturing,transport equipment,31,20.8,7.9,5.1,3.8,-,1.1,na
2013,manufacturing,other manufacturing industries,28.8,24.3,3.8,6.5,0.3,3.4,-,na
2013,construction,construction,24,18.3,6,2.7,2.4,0.9,-,na
2013,services,wholesale and retail trade,47.3,36.8,7.5,9.8,5.1,2.3,0.2,na
2013,services,transportation and storage,28.8,20.3,6.7,9.2,3.7,-,1,na
2013,services,accommodation and food services,69.6,63.2,13.5,8.1,5.3,0.5,0.1,na
2013,services,information and communications,53.8,32.1,20.8,17.7,15.9,-,-,na
2013,services,financial and insurance services,56.9,38.3,19.8,30.1,14.4,0.9,-,na
2013,services,real estate services,48.2,40.7,3.5,11.9,2.2,-,-,na
2013,services,professional services,53.9,32.6,21.5,17.9,11.8,-,0.2,na
2013,services,administrative and support services,45.6,35.5,10.1,11.8,5,-,-,na
2013,services,"community, social and personal services",70.7,60.5,18,19.5,5.3,1.1,1,na
2014,manufacturing,"food, beverages and tobacco",49.8,34.9,10.8,11.6,3.7,-,-,na
2014,manufacturing,paper/ rubber/ plastic products and printing,43.1,27.1,14.2,4.6,8.3,0.9,-,na
2014,manufacturing,"petroleum, chemical and pharmaceutical products",25.9,19.4,8.2,5.3,5.9,0.6,1.8,na
2014,manufacturing,fabricated metal products and machinery,36.5,23.7,10.4,6.8,5.1,0.9,-,na
2014,manufacturing,electronic and computer products,47.7,23.8,28.5,20,16.2,-,-,na
2014,manufacturing,transport equipment,32.8,24.9,11.9,6.8,3.1,1.5,-,na
2014,manufacturing,other manufacturing industries,29,21.2,5.4,5.7,2.4,5.1,-,na
2014,construction,construction,30.8,22.6,8.5,4.1,3.5,0.6,-,na
2014,services,wholesale and retail trade,54.6,40.6,10.3,11.3,3.9,2.3,0.6,na
2014,services,transportation and storage,34.5,23.9,8.8,8.8,5.1,-,-,na
2014,services,accommodation and food services,64.4,56.7,11.2,9.5,4.4,1,-,na
2014,services,information and communications,43.5,25.3,17.9,10.7,19.6,0.9,0.9,na
2014,services,financial and insurance services,61.8,44.6,15.8,32.6,14.5,0.4,2.2,na
2014,services,real estate services,42.3,39.3,8.8,15.9,1.3,1.3,-,na
2014,services,professional services,50.8,35.6,18.1,18.1,10.5,-,1.4,na
2014,services,administrative and support services,54.6,45.7,12.4,8.8,3.3,0.2,-,na
2014,services,"community, social and personal services",72.3,68.2,14.4,20.5,5.6,0.5,0.8,na
2015,manufacturing,"food, beverages and tobacco",53.3,46.7,6.5,19.5,8.8,-,0.4,3.8
2015,manufacturing,paper/ rubber/ plastic products and printing,49.1,28.2,15,12.7,6.4,2.7,2.7,0.5
2015,manufacturing,"petroleum, chemical and pharmaceutical products",35.3,21.6,14.4,11.8,5.2,-,1.3,-
2015,manufacturing,fabricated metal products and machinery,34.8,21.7,12.8,4.3,4.7,0.3,-,0.7
2015,manufacturing,electronic and computer products,42.9,25.3,20.1,16.9,11.7,-,-,-
2015,manufacturing,transport equipment,30.3,19.3,7.9,3.9,4,-,0.1,1.3
2015,manufacturing,other manufacturing industries,39.2,24.1,18,5.1,2.3,3.9,-,1.6
2015,construction,construction,28.7,17.7,10.4,4.4,3.7,0.2,-,0.3
2015,services,wholesale and retail trade,42.7,25.6,14.7,10.3,7.2,0.6,0.1,0.1
2015,services,transportation and storage,38.8,23.9,10.6,12.3,6.1,-,0.5,1.1
2015,services,accommodation and food services,65.9,56.9,15.9,10.3,5.3,2.8,-,0.8
2015,services,information and communications,64,30.9,37.1,16.1,20.4,-,1.1,0.8
2015,services,financial and insurance services,58.3,39.9,23.1,29.9,8.8,-,3.7,3.5
2015,services,real estate services,53.6,46,9.6,10.5,4.6,-,-,-
2015,services,professional services,57,33,27,15,10.9,0.5,0.9,0.5
2015,services,administrative and support services,54.4,43.6,11.7,9.9,6.9,-,0.7,1.6
2015,services,"community, social and personal services",78.4,70.3,17.9,21.8,4.6,1.5,0.4,0.5
2016,manufacturing,"food, beverages and tobacco",59.2,51.8,7.1,17.3,8.2,-,-,0.4
2016,manufacturing,paper/ rubber/ plastic products and printing,31.5,19.2,6.4,4.9,7.9,2.5,-,-
2016,manufacturing,"petroleum, chemical and pharmaceutical products",46.4,28.3,14.5,15.1,10.8,-,-,0.6
2016,manufacturing,fabricated metal products and machinery,37.3,27.6,12.1,7.3,2.6,1.7,-,0.6
2016,manufacturing,electronic and computer products,44.6,25.4,15.4,23.8,5.4,-,-,-
2016,manufacturing,transport equipment,36,23.3,13.2,3.4,2.9,-,-,-
2016,manufacturing,other manufacturing industries,42.3,26.3,16,10,8,4,1.7,0.3
2016,construction,construction,28.3,19.3,8.9,4.2,2.3,-,0.4,0.6
2016,services,wholesale and retail trade,40.7,29,11.3,11.6,3.8,-,0.1,1.3
2016,services,transportation and storage,44.6,25.4,13.5,17.4,8.5,-,-,0.4
2016,services,accommodation and food services,64.8,56.6,14.1,13.1,3.6,1.1,0.5,1.5
2016,services,information and communications,63.8,39.9,28.9,22.4,23,-,1.2,0.3
2016,services,financial and insurance services,63.6,49.9,22.5,25.8,17.1,-,0.9,3.6
2016,services,real estate services,59.6,45.7,13,14.9,2.4,-,-,0.5
2016,services,professional services,57,37.7,26.3,21.8,15,0.1,0.5,3.3
2016,services,administrative and support services,60.8,52.7,14.6,9.4,5.2,0.1,0.6,2.4
2016,services,"community, social and personal services",72.4,65.5,22,20.4,4.1,-,0.8,3.2
2017,manufacturing,"food, beverages and tobacco",55.6,51.5,13,9.6,0.7,-,-,-
2017,manufacturing,paper/ rubber/ plastic products and printing,38.7,21.6,12.6,3,6.5,-,-,-
2017,manufacturing,"petroleum, chemical and pharmaceutical products",38,23.3,15.3,14,6,-,-,0.7
2017,manufacturing,fabricated metal products and machinery,42.7,25.2,17.4,7.3,2.9,0.6,-,-
2017,manufacturing,electronic and computer products,49.6,25.9,23,20,16.3,0.7,-,0.7
2017,manufacturing,transport equipment,31.8,19.4,12.2,7.6,2.3,-,0.2,0.4
