year,industry1,industry2,industry3,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2011,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",29.8,20.7,5.9,5.9,-,-,-,na
2011,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,22.8,13.3,7.1,2.1,2.1,-,-,na
2011,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",31.9,12.3,16,11.7,4.9,1.2,2.5,na
2011,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,27.6,20.3,6.8,1.5,2.5,0.7,1.2,na
2011,manufacturing,electronic and computer products,electronic and computer products,27.3,14,8.4,11.2,2.8,0.7,-,na
2011,manufacturing,transport equipment,transport equipment,31,23.7,9.3,2.4,2.9,1.3,0.3,na
2011,manufacturing,other manufacturing industries,other manufacturing industries,37.7,28.9,5.6,7.4,0.4,1.8,0.4,na
2011,construction,construction,construction,24.4,17.8,6.2,4.3,0.6,0.7,0.2,na
2011,services,wholesale and retail trade,wholesale trade,33.1,23.5,6.9,4.6,4.8,0.8,1.2,na
2011,services,wholesale and retail trade,retail trade,55.2,47,5.8,7.7,2.2,-,0.3,na
2011,services,transportation and storage,land transport and supporting services,34.9,27.4,3.4,5.5,-,-,6.8,na
2011,services,transportation and storage,water transport and supporting services,29.4,21.9,5.9,8,3.2,-,-,na
2011,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,na
2011,services,transportation and storage,other transport and storage services,24.6,18,3.1,9.6,2.2,3.1,0.9,na
2011,services,accommodation and food services,accommodation,36.3,24.2,1.1,13.2,-,-,-,na
2011,services,accommodation and food services,food and beverage services,61,58.2,3.8,1.8,0.6,-,-,na
2011,services,information and communications,"telecommunications, broadcasting and publishing",56.3,34.8,17,18.8,9.8,5.4,-,na
2011,services,information and communications,it and other information services,40.9,22.1,13.3,16.6,20.4,-,0.6,na
2011,services,financial and insurance services,financial services,52,41.4,14.2,23.2,7.3,2,5.3,na
2011,services,financial and insurance services,insurance services,60.3,26.5,13.2,39.7,13.2,-,-,na
2011,services,real estate services,real estate services,47.6,35.8,8.5,7.5,0.9,2.4,-,na
2011,services,professional services,"legal, accounting and management services",43.1,30,17.8,8.7,5,-,-,na
2011,services,professional services,architectural and engineering services,29.3,24,8.5,6,2.5,-,-,na
2011,services,professional services,other professional services,65,41.3,18.2,21.7,13.3,-,1.4,na
2011,services,administrative and support services,security and investigation,45.3,38,8,6.6,2.9,3.6,0.7,na
2011,services,administrative and support services,cleaning and landscaping,49,42.4,3.1,3.1,2,-,-,na
2011,services,administrative and support services,other administrative and support services,44.8,26.8,8.7,16.1,1.6,2.3,-,na
