typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7000","false","-1","N/A",,"false","7000","false",,"false","6458",,"6458","0","true","false",
"C","A","20130101","2013","52","2013","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H3","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","440879","false","-1","N/A",,"false","440879","false",,"false","459280",,"459280","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1376","false","-1","N/A",,"false","1376","false",,"false","4742",,"4742","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","132789733","false","-1","N/A",,"false","132789733","false",,"false","64602851",,"64602851","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","186000","false","-1","N/A",,"false","186000","false",,"false",,"216198","216198","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3287006","false","-1","N/A",,"false","3287006","false",,"false",,"1400224","1400224","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17503075286","false","-1","N/A",,"false","17503075286","false",,"false",,"520183379","520183379","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","9234879","false","8","kg","9234879","false","9234879","false","0","false","2583673.577",,"2583673.577","0","false","true",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","21831752","false","8","kg","21831752","false","21831752","false","0","false",,"6171714.953","6171714.953","0","false","true",
"C","A","20130101","2013","52","2013","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H4","HS","true","2606","Aluminium ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","346061378","false","-1","N/A",,"false","346061378","false",,"false","122950238",,"122950238","0","true","false",
