freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C,EUR,AT	: 	36.54 	34.90 	32.18 	29.77 	27.74 	27.84 	28.36 	29.63 	29.82 	30.73 	29.98 	30.61 	30.93 
A,C,EUR,BE	: 	23.84 	23.76 	24.32 	25.12 	26.66 	28.03 	29.41 	29.64 	: 	: 	: 	: 	: 
A,C,EUR,BG	: 	: 	: 	1.46 e	1.74 e	2.24 	2.39 	2.56 	2.65 	2.95 	3.08 	3.38 	3.77 	: 
A,C,EUR,CH	: 	: 	: 	: 	: 	28.84 	: 	32.93 	: 	31.67 	: 	31.58 	: 	31.66 
A,C,EUR,CY	: 	9.65 	10.28 	10.69 	10.92 	11.38 	11.37 	11.82 	12.55 	12.68 	13.94 	14.83 	15.46 	17.36 
A,C,EUR,CZ	3.06 	3.56 	3.64 	4.44 	4.30 	4.90 	5.75 	6.75 	6.81 	7.14 	7.94 	9.18 	9.92 	: 
A,C,EUR,DE	: 	27.40 	28.70 	28.50 	28.90 	30.80 	32.00 	30.70 	30.70 	30.50 	31.90 	31.40 	30.80 	: 
A,C,EUR,DK	: 	: 	31.68 	33.56 	33.47 	32.88 	33.32 	37.35 	37.80 	39.59 	40.35 	45.48 	43.96 	: 
A,C,EUR,EE	: 	2.43 	2.79 	3.20 	3.66 	4.00 	4.20 	4.52 	4.96 	5.29 	5.72 	6.62 	7.95 	9.23 
A,C,EUR,EL	10.41 	11.00 	11.57 	11.52 	12.46 	12.84 	13.50 	14.37 	15.30 	: 	: 	: 	: 	: 
A,C,EUR,ES	: 	19.52 	18.54 	18.36 	18.59 	18.58 	17.31 	18.06 	19.04 	19.40 	19.83 	20.37 	20.59 	: 
A,C,EUR,FI	: 	19.81 	20.06 	20.14 	20.80 	21.62 	22.64 	24.34 	25.81 	25.99 	28.10 	29.88 	31.42 	32.75 
A,C,EUR,FR	: 	26.86 	26.34 	25.92 	25.69 	26.70 	26.63 	26.61 	26.84 	26.63 	27.53 	29.01 	31.13 	33.43 
A,C,EUR,HU	: 	3.63 	4.01 	3.95 	4.22 	4.86 	5.10 	5.69 	5.93 	6.19 	6.92 	6.24 	7.84 	: 
A,C,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.16 	: 	: 
A,C,EUR,IT	: 	18.59 	19.72 	19.22 	20.02 	20.91 	20.17 	21.20 	22.45 	21.33 	: 	: 	: 	: 
A,C,EUR,LT	: 	1.26 	1.77 	2.18 	2.21 	3.22 	3.67 	3.81 	4.10 	4.05 	4.37 	5.16 	6.14 	: 
A,C,EUR,LU	: 	21.02 	20.96 	21.02 	22.44 	20.34 u	20.94 	21.95 	22.86 	22.93 	23.66 	24.09 	24.99 	25.75 
A,C,EUR,LV	: 	: 	1.58 	1.65 	1.98 	2.22 	2.34 	2.58 	2.69 	2.66 	2.94 	3.73 	4.94 	6.03 
A,C,EUR,MT	: 	: 	: 	: 	: 	: 	: 	7.11 	7.06 	7.96 	7.60 	10.12 	7.16 	: 
A,C,EUR,NL	: 	34.77 	32.84 b	34.10 	35.04 	36.98 	38.95 	42.40 	43.80 	46.97 	48.84 	: 	: 	: 
A,C,EUR,PL	: 	5.27 	5.69 	6.26 	6.42 	7.36 	8.82 	8.80 	7.81 	8.44 	10.23 	11.12 	12.25 	: 
A,C,EUR,PT	: 	6.89 	7.06 	7.21 	7.52 	7.77 	7.80 	7.90 	7.90 	8.00 	8.00 	7.87 	8.42 	8.75 
A,C,EUR,RO	: 	: 	: 	: 	: 	2.48 	2.81 	3.11 	3.03 	3.35 	4.90 	5.98 	6.82 	: 
A,C,EUR,SE	22.82 	26.94 	27.77 	28.13 	29.25 	30.38 	29.01 	30.34 	31.94 	32.37 	32.91 	33.58 	35.96 	: 
