#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Oil production by country 1900-2022
#Time span: 1900-2022
#----------------------------------------------------------------
#Variable: Oil production by country
#Source: Our World in Data; "Oil Production"
#Source link: https://ourworldindata.org/grapher/oil-production-by-country
#Data accessed: 2023-11-15Description: Our World in Data processes original data from The Energy Institute Statistical Review of World Energy and the The Shift Data Portal--links below
#Additional links: The Energy Institute Statistical Review of World Energy: https://www.energyinst.org/statistical-review; The Shift Data Portal: https://theshiftdataportal.org/energy
#================================================================
Year,United States,Saudi Arabia,Russia,Canada,Iraq,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,USSR,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Western Sahara,World,Yemen,Yugoslavia,Zambia,Zimbabwe
1900,0.36,0,,0.01,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.01,0.01,0,,0,0,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.01,,,0,,0.01,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.43,,,0,0,,,,,0,,,0.85,,0,,
1901,0.39,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.01,0.02,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.02,,,0,,0.01,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.48,,,0,0,,,,,0,,,0.95,,0,,
1902,0.5,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.01,0.01,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.02,,,0,,0.01,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.46,,,0,0,,,,,0,,,1.03,,0,,
1903,0.56,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.01,0.03,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.03,,,0,,0.02,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.43,,,0,0,,,,,0,,,1.1,,0,,
1904,0.65,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.02,0.04,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.03,,,0,,0.02,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.45,,,0,0,,,,,0,,,1.23,,0,,
1905,0.75,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.02,0.05,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.03,,,0,,0.03,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.31,,,0,0,,,,,0,,,1.21,,0,,
1906,0.71,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.02,0.05,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.03,,,0,,0.04,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.34,,,0,0,,,,,0,,,1.21,,0,,
1907,0.93,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.02,0.06,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.01,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,0.05,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.36,,,0,0,,,,,0,,,1.49,,0,,
1908,1,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.03,0.06,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.02,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.07,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.36,,,0,0,,,,,0,,,1.61,,0,,
1909,1.02,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.04,0.06,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.02,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.09,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.38,,,0,0,,,,,0,,,1.7,,0,,
